"50words,3.886235"
"Adiac,3.87541732"
"ArrowHead,1.10110756"
"Beef,1.5762155"
"BeetleFly,0.699701"
"BirdChicken,0.69314957"
"Car,1.38929273"
"CBF,1.09865317"
"ChlorineConcentration,1.0351912"
"CinC_ECG_torso,1.38501383"
"Coffee,0.69272092"
"Computers,0.69314718"
"Cricket_X,2.83269912"
"Cricket_Y,2.61507609"
"Cricket_Z,2.85056862"
"DiatomSizeReduction,1.31820509"
"DistalPhalanxOutlineAgeGroup,0.97505401"
"DistalPhalanxOutlineCorrect,0.7247549"
"DistalPhalanxTW,1.61762162"
"Earthquakes,0.50681999"
"ECG200,1.44541369e-06"
"ECG5000,0.48295763"
"ECGFiveDays,0.69469223"
"ElectricDevices,1.49059598"
"FaceAll,2.65726337"
"FaceFour,1.35438067"
"FacesUCR,2.52438481"
"FISH,2.31008193"
"FordA,1.19209304e-07"
"FordB,0.00155001"
"Gun_Point,0.69347472"
"Ham,0.69085319"
"HandOutlines,0.67951016"
"Haptics,1.61504828"
"Herring,0.69315012"
"InlineSkate,1.92825281"
"InsectWingbeatSound,2.68294306"
"ItalyPowerDemand,0.65132674"
"LargeKitchenAppliances,1.11045719"
"Lighting2,2.98023281e-07"
"Lighting7,1.78926529"
"MALLAT,2.10294414"
"Meat,1.09861473"
"MedicalImages,1.94336593"
"MiddlePhalanxOutlineAgeGroup,1.0843174"
"MiddlePhalanxOutlineCorrect,0.69301659"
"MiddlePhalanxTW,1.69135459"
"MoteStrain,0.59898003"
"NonInvasiveFatalECG_Thorax1,4.43530312"
"NonInvasiveFatalECG_Thorax2,3.85322083"
"OliveOil,1.30316825"
"OSULeaf,1.83472634"
"PhalangesOutlinesCorrect,0.67456786"
"Plane,2.11377319"
"ProximalPhalanxOutlineAgeGroup,1.04899493"
"ProximalPhalanxOutlineCorrect,0.64948542"
